,White,Black/African American,Hispanic/Latino,Asian
"< $30,000",79.7,95.1,75.1,41.8
"$30,000 - $59,999",79.9,92,72.1,51.6
"$60,000 - $99,999",64.5,79.5,66.7,34.9
"> $100,000",52.6,73.1,71.5,37.3
