,player_name,FG_pct,FG_pct_1_make,FG_pct_1_miss,FG_pct_2_make,FG_pct_2_miss,FG_pct_3_make,FG_pct_3_miss,FG_pct_4_make,FG_pct_4_miss,FG_pct_5_make,FG_pct_5_miss,FG_pct_80_pct,FG_pct_20_pct
0,aaron brooks,0.4209039548022599,0.4819277108433735,0.3924731182795699,0.43243243243243246,0.3106796116504854,0.35,0.3384615384615385,0.3333333333333333,0.3170731707317073,0.0,0.3076923076923077,0.30434782608695654,0.43023255813953487
2,al horford,0.5195439739413681,0.5,0.5306859205776173,0.5352112676056338,0.5333333333333333,0.5161290322580645,0.5576923076923077,0.42857142857142855,0.42857142857142855,0.6,0.5454545454545454,0.5714285714285714,0.52
3,al jefferson,0.47959183673469385,0.5025125628140703,0.5,0.42391304347826086,0.5142857142857142,0.3968253968253968,0.5454545454545454,0.32,0.5625,0.375,0.5833333333333334,0.43209876543209874,0.4581005586592179
7,amare stoudemire,0.5584415584415584,0.55,0.6153846153846154,0.42857142857142855,0.5652173913043478,0.625,0.7777777777777778,0.625,0.5,0.25,1.0,0.625,0.5384615384615384
8,amir johnson,0.6,0.6071428571428571,0.6585365853658537,0.625,0.6923076923076923,0.4375,0.5,0.3333333333333333,0.5,0.5,1.0,0.5714285714285714,0.5
9,andre drummond,0.51183970856102,0.5481481481481482,0.491869918699187,0.5774647887323944,0.5175438596491229,0.4444444444444444,0.5384615384615384,0.4090909090909091,0.7142857142857143,0.25,0.8,0.5555555555555556,0.512396694214876
13,andrew wiggins,0.44647887323943664,0.4388888888888889,0.45706371191135736,0.44285714285714284,0.48044692737430167,0.4230769230769231,0.5421686746987951,0.42857142857142855,0.5757575757575758,0.375,0.6153846153846154,0.37735849056603776,0.47305389221556887
15,anthony davis,0.5462287104622872,0.5288461538461539,0.5568181818181818,0.6153846153846154,0.6095890410958904,0.5357142857142857,0.5471698113207547,0.5925925925925926,0.6666666666666666,0.5357142857142857,0.6666666666666666,0.6140350877192983,0.4852941176470588
16,anthony morrow,0.422360248447205,0.39473684210526316,0.40229885057471265,0.38461538461538464,0.46808510638297873,0.7,0.5454545454545454,0.6666666666666666,0.3333333333333333,1.0,0.4,0.4,0.5476190476190477
18,arron afflalo,0.43804537521815007,0.4482758620689655,0.445993031358885,0.45901639344262296,0.3795620437956204,0.3076923076923077,0.4,0.36363636363636365,0.4358974358974359,0.3333333333333333,0.3888888888888889,0.37777777777777777,0.4827586206896552
19,avery bradley,0.4405487804878049,0.4935064935064935,0.4171597633136095,0.4507042253521127,0.4438202247191011,0.3541666666666667,0.5113636363636364,0.3125,0.48717948717948717,0.4,0.6470588235294118,0.42857142857142855,0.43558282208588955
21,ben mclemore,0.4358974358974359,0.46835443037974683,0.4157303370786517,0.5757575757575758,0.42391304347826086,0.4411764705882353,0.3953488372093023,0.4666666666666667,0.4,0.42857142857142855,0.375,0.4594594594594595,0.42045454545454547
24,blake griffin,0.5005599104143337,0.5201793721973094,0.5106888361045131,0.5181818181818182,0.5025125628140703,0.4431818181818182,0.5052631578947369,0.5142857142857142,0.44680851063829785,0.5333333333333333,0.38461538461538464,0.39325842696629215,0.5654761904761905
25,bojan bogdanovic,0.5079365079365079,0.5517241379310345,0.48148148148148145,0.5,0.5217391304347826,0.5,0.4444444444444444,0.5,0.3333333333333333,0.5,0.0,0.4,0.5517241379310345
26,boris diaw,0.4233128834355828,0.3,0.4523809523809524,0.5,0.425,0.5714285714285714,0.5,0.5,0.2857142857142857,0.25,0.0,0.5833333333333334,0.5238095238095238
27,bradley beal,0.4186471663619744,0.3448275862068966,0.46757679180887374,0.37777777777777777,0.5384615384615384,0.36,0.5409836065573771,0.2222222222222222,0.6,0.0,0.75,0.28,0.4527027027027027
