,MEAN_BORROWED,OWED,RELIEF
White,"31,348.70",28006,"18,006.00"
Black or African American,"49,816.90",52726,"42,726.00"
Hispanic or Latino,"32,189.60",29949,"19,949.00"
Asian,"32,593.20",26253,"16,253.00"
