,19992000,20112012,20152016
    White,"16,390","23,690","26,460"
    Black,"18,760","29,200","32,370"
    Hispanic,"16,270","23,710","25,420"
    Asian,"13,990","20,740","22,770"
    Pacific Islander,"16,850",,"27,690"
    American Indian/Alaska Native,"18,290",,"25,550"
    Two or more races,"16,470","23,950","27,280"
    Other\2\,"15,250",,
